"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0328813606687183,0.00591667541322424,-0.0152706674058942,-0.0223216116457297,-0.0163617843680339,-0.00759843858317864,0.00783279984502892,0.0141572399500127,0.0146701407952273,-0.00851089782670299
"2",0.00591667541322424,0.00493244405683654,-0.00182721219181651,-0.00625705609581719,-0.00691459806132226,-0.00431488668952516,0.00205359017096883,0.00554471266204103,0.00555983116953537,-0.00123801318044539
"3",-0.0152706674058942,-0.00182721219181651,0.0108662355782148,0.010144255957277,0.0029624537042777,-0.00132903478028523,-0.00382628584644165,-0.00317113393629468,-0.00276721178135089,0.00635347873192581
"4",-0.0223216116457297,-0.00625705609581719,0.010144255957277,0.01745878601926,0.0125206451286568,0.00542329078450769,-0.00609461775503393,-0.0107307198403154,-0.0101924014232794,0.00599927095882383
"5",-0.0163617843680339,-0.00691459806132226,0.0029624537042777,0.0125206451286568,0.0167652173337833,0.0113809490131214,-0.00440742509495097,-0.0131501409351778,-0.0138995064070073,0.0015935477016853
"6",-0.00759843858317864,-0.00431488668952516,-0.00132903478028523,0.00542329078450769,0.0113809490131214,0.0105166933567857,-0.00128531014260177,-0.00928088694017545,-0.0111925190406972,-0.000847590050141013
"7",0.00783279984502892,0.00205359017096883,-0.00382628584644165,-0.00609461775503393,-0.00440742509495097,-0.00128531014260177,0.00299331101671746,0.00343065560398622,0.00249115317247286,-0.00276686562526901
"8",0.0141572399500127,0.00554471266204103,-0.00317113393629468,-0.0107307198403154,-0.0131501409351778,-0.00928088694017545,0.00343065560398622,0.0115307635954645,0.0109886170332088,-0.00254606920179331
"9",0.0146701407952273,0.00555983116953537,-0.00276721178135089,-0.0101924014232794,-0.0138995064070073,-0.0111925190406972,0.00249115317247286,0.0109886170332088,0.0150468868187303,-0.00174111122441273
"10",-0.00851089782670299,-0.00123801318044539,0.00635347873192581,0.00599927095882383,0.0015935477016853,-0.000847590050141013,-0.00276686562526901,-0.00254606920179331,-0.00174111122441273,0.00929414156678568
